"","seriesId","seriesTitle","seriesAvgRating","totalVotes","avgVotes","numSeasons","avgRuntime","seriesStartYear","seriesStartDecade","lengthYears","genres","baseGenre"
"147","tt2249364","Broadchurch",8.12,49147,2048,3,47.6,"2013","2010s",4,"Crime,Drama,Mystery","Crime"
"148","tt7908628","What We Do in the Shadows",8.09,124860,2047,6,24.7,"2019","2010s",5,"Comedy,Fantasy,Horror","Comedy"
"149","tt0162065","Angel",8.07,226466,2040,5,42,"1999","1990s",5,"Action,Adventure,Drama","Action"
"150","tt1606375","Downton Abbey",8.31,106039,2039,6,57.9,"2010","2010s",5,"Drama,Romance","Drama"
"151","tt8427140","Into the Dark",5.68,48729,2030,2,83,"2018","2010s",3,"Drama,Fantasy,Horror","Drama"
"152","tt2188671","Bates Motel",8.38,100865,2017,5,43.4,"2013","2010s",4,"Drama,Horror,Mystery","Horror"
"153","tt6548228","Castle Rock",7.96,40275,2014,2,48.8,"2018","2010s",1,"Drama,Fantasy,Horror","Drama"
"154","tt0264235","Curb Your Enthusiasm",8.28,241337,2011,12,33,"2000","2000s",24,"Comedy","Comedy"
"155","tt6077448","Sacred Games",8.22,31733,1983,2,49.7,"2018","2010s",1,"Action,Crime,Drama","Action"
"156","tt8788458","The Promised Neverland",7.77,45476,1977,2,23,"2019","2010s",2,"Action,Adventure,Animation","Action"
"157","tt1870479","The Newsroom",8.53,49184,1967,3,57.3,"2012","2010s",2,"Drama","Drama"
"158","tt1898069","American Gods",7.48,51103,1966,3,54.3,"2017","2010s",4,"Drama,Fantasy,Mystery","Drama"
"159","tt2294189","The Fall",7.85,33280,1958,3,61.4,"2013","2010s",3,"Crime,Drama,Thriller","Crime"
"160","tt0244365","Star Trek: Enterprise",7.48,189193,1931,4,43.5,"2001","2000s",4,"Action,Adventure,Drama","Action"
"161","tt4635276","Master of None",7.98,47982,1919,3,31.9,"2015","2010s",6,"Comedy,Drama","Comedy"
"162","tt2575988","Silicon Valley",8.15,101491,1915,6,29.4,"2014","2010s",5,"Comedy","Comedy"
"163","tt4016454","Supergirl",7.37,239284,1899,6,42.1,"2015","2010s",6,"Action,Adventure,Drama","Action"
"164","tt0348914","Deadwood",8.32,68018,1889,3,52.7,"2004","2000s",2,"Crime,Drama,History","Crime"
"165","tt2149175","The Americans",8.24,138395,1845,6,47.6,"2013","2010s",5,"Crime,Drama,Mystery","Crime"
"166","tt1405406","The Vampire Diaries",8.25,311147,1820,8,42,"2009","2000s",8,"Drama,Fantasy,Horror","Drama"
"167","tt7440726","Your Honor",7.71,36172,1809,2,55.7,"2020","2020s",3,"Crime,Drama,Thriller","Crime"
"168","tt1734537","Marple",7.25,41565,1807,6,90.9,"2004","2000s",9,"Crime,Drama,Mystery","Crime"
"169","tt9348692","Criminal: UK",8.11,12635,1805,2,44.4,"2019","2010s",1,"Crime,Drama,Mystery","Crime"
